startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter
Inte kallavverkad,luckhuggning,40,24.525,8.941666667,0.422,21.97666667,10.965,0.599833333,19.27416667,17.14666667,2.963333333,17.42
Inte kallavverkad,luckhuggning,50,24.45833333,8.933333333,0.4257,21.46666667,10.92166667,0.639166667,19.33666667,17.51333333,2.943333333,17.13833333
Inte kallavverkad,luckhuggning,60,26.2,9.666666667,0.436,23.96666667,11.8,0.668333333,20.36666667,18.46666667,3.033333333,18.9
Inte kallavverkad,luckhuggning,60.1,21.325,8.041666667,0.336166667,20.43333333,9.891666667,0.536666667,16.325,14.88333333,2.816666667,16.09166667
Inte kallavverkad,luckhuggning,70,23.45,9.141666667,0.355833333,23.6125,11.2,0.576166667,17.6375,16.3,3.596666667,18.71666667
Inte kallavverkad,luckhuggning,80,23.71833333,9.116666667,0.364166667,23.37666667,11.14,0.577,17.66333333,16.41166667,3.533333333,18.42
Inte kallavverkad,luckhuggning,90,25.5,9.883333333,0.3815,26.01,12.265,0.605666667,18.7075,17.555,3.746666667,19.87833333
Inte kallavverkad,luckhuggning,90.1,21.15833333,8.058333333,0.330366667,20.68333333,10.11333333,0.5275,16.145,14.705,2.926666667,16.03
Inte kallavverkad,luckhuggning,100,23.625,9.225,0.3475,23.95,11.3,0.575,17.65,16.225,3.7,19.2
Inte kallavverkad,skärm,-7,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,skärm,0,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,skärm,0.1,15.375,5.125,0.3005,11.4,6.275,0.405,12.875,11.25,1.35,9.575
Inte kallavverkad,skärm,10,16.275,5.675,0.3045,13.25,6.9,0.415,13.25,11.675,2.2,10.5
Inte kallavverkad,skärm,10.1,7.04,3.2,0.0672,8.8,3.84,0.164,4.4,4.88,2.92,6.4
Inte kallavverkad,skärm,20,14.6,6.8,0.0888,22,9.12,0.26,8.48,8.6,3.88,14.56
Inte kallavverkad,skärm,20.1,11.4,5.7,0.0342,19.95,7.98,0.1425,6.27,5.7,3.42,12.54
Inte kallavverkad,skärm,30,22.8,11.4,0.0912,36.48,14.82,0.342,13.11,12.54,6.84,28.5
Inte kallavverkad,skärm,40,23.37,11.685,0.11685,37.392,15.1905,0.35055,13.43775,12.8535,7.011,28.044
Inte kallavverkad,skärm,50,22.99,11.495,0.13794,34.485,14.9435,0.57475,13.794,14.9435,6.897,26.4385
Inte kallavverkad,skärm,60,23.94,11.4,0.171,33.06,13.68,0.627,14.82,15.96,6.27,26.79
Inte kallavverkad,skärm,70,22.9425,10.925,0.2185,31.13625,13.11,0.63365,14.74875,16.3875,5.681,24.035
Inte kallavverkad,skärm,80,24.472,10.64,0.266,29.792,12.768,0.6384,14.896,17.024,5.32,22.344
Inte kallavverkad,skärm,90,25.08,10.45,0.3135,28.215,12.54,0.67925,15.675,18.81,5.225,21.4225
Inte kallavverkad,skärm,100,26.125,10.45,0.418,27.17,12.54,0.7315,16.72,20.9,5.225,20.9
Inte kallavverkad,ingen åtgärd,-7,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,ingen åtgärd,0,30,10,0.6,22,12,0.8,25,22,2,18
Inte kallavverkad,ingen åtgärd,10,30,10,0.6,22,12,8,25,22,2,18
Inte kallavverkad,ingen åtgärd,20,30,10,0.6,22,12,8,25,22,2,18
Inte kallavverkad,ingen åtgärd,30,30,10,0.6,22,12,8,25,22,2,18
Inte kallavverkad,ingen åtgärd,40,30,10,0.6,22,12,8,25,22,2,18
Inte kallavverkad,ingen åtgärd,50,30,10,0.6,22,12,8,25,22,2,18
Inte kallavverkad,ingen åtgärd,60,30,10,0.6,22,12,8,25,22,2,18
Inte kallavverkad,ingen åtgärd,70,30,10,0.6,22,12,8,25,22,2,18
Inte kallavverkad,ingen åtgärd,80,30,10,0.6,22,12,8,25,22,2,18
Inte kallavverkad,ingen åtgärd,90,30,10,0.6,22,12,8,25,22,2,18
Inte kallavverkad,ingen åtgärd,100,30,10,0.6,22,12,8,25,22,2,18
